Year,Make,Model,Condition,Price,Consumer_Rating,,,,,,,,,,
2023,Honda,Civic Sport,New,"$26,140 ",5,,,,,,,,,,
2022,Honda,Accord Hybrid Sport,New,"$32,158 ",3,,,,,,,,,,
2023,Honda,CR-V EX-L,New,"$37,055 ",4.9,,,,,,,,,,
2022,Honda,Accord Hybrid Sport,New,"$31,560 ",4.5,,,,,,,,,,
2023,Honda,CR-V Hybrid Sport Touring,New,"$40,240 ",4.4,,,,,,,,,,
2023,Honda,Odyssey EX-L,New,"$41,486 ",4.6,,,,,,,,,,
2023,Honda,CR-V Hybrid Sport,New,"$34,090 ",5,,,,,,,,,,
2023,Honda,CR-V Hybrid Sport Touring,New,"$40,850 ",4.4,,,,,,,,,,
2023,Honda,CR-V Hybrid Sport Touring,New,"$40,240 ",4.4,,,,,,,,,,
2023,Honda,CR-V Hybrid Sport Touring,New,"$40,240 ",4.4,,,,,,,,,,
2022,Honda,Accord Sport 1.5T,New,"$29,720 ",4.6,,,,,,,,,,
2022,Honda,Accord Sport 1.5T,New,"$30,470 ",5,,,,,,,,,,
2022,Honda,Accord Sport 1.5T,New,"$30,470 ",5,,,,,,,,,,
2022,Honda,Pilot Touring 7-Passenger,New,"$48,465 ",4.7,,,,,,,,,,
2023,Honda,CR-V Hybrid Sport Touring,New,"$40,240 ",4.7,,,,,,,,,,
2022,Honda,Accord Sport 1.5T,New,"$30,669 ",5,,,,,,,,,,
2022,Honda,Accord Sport SE,New,"$32,159 ",5,,,,,,,,,,
2022,Honda,Accord Sport 2.0T,New,"$35,349 ",5,,,,,,,,,,
2023,Honda,Passport Elite,New,"$48,250 ",5,,,,,,,,,,
2022,Honda,Accord Sport 1.5T,New,"$30,470 ",5,,,,,,,,,,
2023,Honda,Ridgeline RTL-E,New,"$48,005 ",4.8,,,,,,,,,,
2022,Honda,Ridgeline RTL-E,New,"$45,665 ",5,,,,,,,,,,
2023,Honda,Ridgeline RTL-E,New,"$46,420 ",5,,,,,,,,,,
2023,Honda,CR-V Hybrid Sport,New,"$35,145 ",4.7,,,,,,,,,,
2023,Honda,Civic Si Base,New,"$29,590 ",4.1,,,,,,,,,,
2022,Honda,Pilot Special Edition,New,"$44,205 ",4.8,,,,,,,,,,
2022,Honda,Pilot Sport,New,"$41,770 ",3.4,,,,,,,,,,
2023,Honda,Ridgeline Black Edition,New,"$47,920 ",5,,,,,,,,,,
2022,Honda,Accord Sport 1.5T,New,"$28,652 ",4.8,,,,,,,,,,
2022,Honda,Accord Hybrid Sport,New,"$32,560 ",5,,,,,,,,,,
2023,Honda,CR-V Hybrid Sport Touring,New,"$45,240 ",5,,,,,,,,,,
2023,Honda,Civic EX-L,New,"$31,745 ",5,,,,,,,,,,
2023,Honda,CR-V Hybrid Sport,New,"$34,090 ",4.9,,,,,,,,,,
2023,Honda,CR-V Hybrid Sport,New,"$34,090 ",4.9,,,,,,,,,,
2023,Honda,Pilot TrailSport,New,"$51,845 ",4.8,,,,,,,,,,
2023,Honda,Civic Si Base,New,"$29,595 ",4.8,,,,,,,,,,
2023,Honda,CR-V EX-L,New,"$35,005 ",4.8,,,,,,,,,,
2023,Honda,Odyssey EX-L,New,"$42,360 ",4.7,,,,,,,,,,
2023,Honda,Ridgeline RTL,New,"$43,075 ",4.8,,,,,,,,,,
2022,Honda,Accord Sport 1.5T,New,"$30,075 ",4.9,,,,,,,,,,
2022,Honda,Ridgeline Black Edition,New,"$47,260 ",5,,,,,,,,,,
2023,Honda,CR-V Hybrid Sport,New,"$35,745 ",4.9,,,,,,,,,,
2023,Honda,Passport EX-L,New,"$42,395 ",4.7,,,,,,,,,,
2023,Honda,CR-V Hybrid Sport Touring,New,"$40,240 ",4.9,,,,,,,,,,
2023,Honda,Pilot TrailSport,New,"$51,845 ",4.9,,,,,,,,,,
2023,Honda,Pilot Touring 8-Passenger,New,"$50,350 ",4.9,,,,,,,,,,
2023,Honda,HR-V Sport,New,"$28,790 ",4.9,,,,,,,,,,
2022,Honda,HR-V Sport,New,"$26,545 ",4.9,,,,,,,,,,
2023,Honda,Pilot Touring,New,"$49,847 ",4.6,,,,,,,,,,
2022,Honda,Accord Sport 2.0T,New,"$35,150 ",5,,,,,,,,,,
2023,Honda,Passport TrailSport,New,"$45,580 ",4.9,,,,,,,,,,
2022,Honda,Pilot Touring 7-Passenger,New,"$48,465 ",2.1,,,,,,,,,,
2022,Honda,Pilot Sport,New,"$41,375 ",4.9,,,,,,,,,,
2022,Honda,Pilot EX-L,New,"$40,500 ",4.8,,,,,,,,,,
2022,Honda,Accord Hybrid Sport,New,"$32,560 ",4.7,,,,,,,,,,
2022,Honda,Pilot Sport,New,"$39,038 ",4.3,,,,,,,,,,
2023,Honda,CR-V EX-L,New,"$36,900 ",4.3,,,,,,,,,,
2022,Honda,Passport TrailSport,New,"$45,276 ",5,,,,,,,,,,
2022,Honda,Pilot Sport,New,"$41,375 ",4.2,,,,,,,,,,
2022,Honda,Passport Elite,New,"$44,998 ",4.7,,,,,,,,,,
2022,Honda,Passport EX-L,New,"$38,505 ",4.7,,,,,,,,,,
2022,Honda,Pilot Special Edition,New,"$44,600 ",4.7,,,,,,,,,,
2022,Honda,Pilot Touring 8-Passenger,New,"$48,859 ",5,,,,,,,,,,
2022,Honda,Accord Hybrid Touring,New,"$39,079 ",5,,,,,,,,,,
2023,Honda,Odyssey Elite,New,"$50,764 ",4.4,,,,,,,,,,
2022,Honda,Civic EX,New,"$27,039 ",4.6,,,,,,,,,,
2023,Honda,HR-V Sport,New,"$28,789 ",4.6,,,,,,,,,,
2022,Honda,Passport Elite,New,"$47,225 ",4.9,,,,,,,,,,
